iteration,objective,gradient_norm,parameter_step_norm,accepted_step,backtracks,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4
9006,0.01193385868245194,2.5105256506682706e-05,0.0008035046787934442,32.0,0,-26.187246070480477,-27.419789499549914,-25.758730276110775,-0.5562388423908988,-12.550169684843956
9120,0.01193160311913346,2.4625212164483524e-05,0.0007881398665269558,32.0,0,-26.236970699076462,-27.471905520565173,-25.80821932712054,-0.5585463182132248,-12.574369420650031
9234,0.011929432748337883,2.415704946735424e-05,0.0007731553812612044,32.0,0,-26.285746723942246,-27.523028950671605,-25.85676580608681,-0.5608084230784431,-12.598104472517006
9348,0.011927343890989992,2.3700370226809974e-05,0.0007585384758858773,32.0,0,-26.333597538941028,-27.573184208254656,-25.904392902615772,-0.5630263216481373,-12.62138640587387
9462,0.011925333052955936,2.325479386034301e-05,0.0007442769669515034,32.0,0,-26.380545757443606,-27.622394899386936,-25.951123034738877,-0.5652011382323111,-12.644226396510314
9576,0.011923396914182672,2.281995641774429e-05,0.0007303592035141053,32.0,0,-26.426613246677423,-27.67068385347305,-25.99697788278026,-0.5673339586112316,-12.666635247870481
9690,0.011921532318576948,2.2395509671870316e-05,0.0007167740380124224,32.0,0,-26.471821160184614,-27.71807315693793,-26.04197842136439,-0.5694258317558378,-12.688623407388194
9804,0.011919736264565307,2.1981120268954804e-05,0.0007035107990626336,32.0,0,-26.51618996851364,-27.764584185086882,-26.08614494968607,-0.5714777714533374,-12.710200981926913
9918,0.011918005896283269,2.15764689338696e-05,0.000690559266016674,32.0,0,-26.55973948825993,-27.810237632256463,-26.12949712015585,-0.573490757844146,-12.731377752383352
10032,0.011916338495345532,2.1181249726279246e-05,0.0006779096451388827,32.0,0,-26.602488909561462,-27.855053540365795,-26.17205396552523,-0.5754657388759671,-12.752163187508787
10146,0.01191473147315343,2.0795169343845977e-05,0.0006655525472993095,32.0,0,-26.644456822148214,-27.899051325970184,-26.213833924588435,-0.577403631680253,-12.772566456998296
10260,0.011913182363700259,2.0417946469017432e-05,0.0006534789670603175,32.0,0,-26.685661240036108,-27.942249805910855,-26.254854866549987,-0.5793053238759571,-12.792596443894237
10374,0.011911688816836392,2.004931115633899e-05,0.0006416802630562695,32.0,0,-26.726119624950332,-27.98466722164837,-26.295134114141337,-0.5811716748051354,-12.81226175634699
10488,0.011910248591962177,1.9689004257184704e-05,0.0006301481395776867,32.0,0,-26.765848908556112,-28.026321262360355,-26.3346884655632,-0.5830035167046027,-12.83157073877279
10602,0.01190885955211614,1.9336776879437397e-05,0.0006188746292670621,32.0,0,-26.80486551356982,-28.067229086879095,-26.37353421532541,-0.5848016558175885,-12.850531482445733
10716,0.011907519658431715,1.8992389879513887e-05,0.0006078520768649897,32.0,0,-26.843185373817843,-28.107407344538405,-26.411687174050332,-0.5865668734490145,-12.869151835558112
10830,0.01190622696493516,1.8655613384581002e-05,0.0005970731239009689,32.0,0,-26.88082395330627,-28.14687219499509,-26.449162687301854,-0.5882999269677806,-12.887439412781234
10944,0.011904979613660856,1.8326226342793216e-05,0.000586530694298567,32.0,0,-26.9177962643596,-28.18563932708532,-26.48597565349734,-0.5900015507592494,-12.905401604356246
11058,0.01190377583006297,1.8004016099701303e-05,0.0005762179808149867,32.0,0,-26.954116884883177,-28.22372397677212,-26.522140540956016,-0.5916724571307894,-12.923045584742695
11172,0.011902613918701578,1.7688777999058163e-05,0.0005661284322617594,32.0,0,-26.98979997479996,-28.261140944236754,-26.557671404133853,-0.5933133371732082,-12.940378320850602
